ID	Begin	End	Chrom
AATK_E63_R	81121406	81121463	17
AATK_P519_R	81121996	81122041	17
AATK_P709_R	81122185	81122230	17
ABCA1_E120_R	104928010	104928057	9
ABCA1_P45_F	104928174	104928230	9
ABCB4_E429_F	87479978	87480032	7
ABCB4_P51_F	87480463	87480514	7
ABCB4_P892_F	87481300	87481355	7
ABCC2_E16_R	99782807	99782860	10
ABCC2_P88_F	99782702	99782754	10
ABCC5_P444_F	184018358	184018411	3
ABCG2_P178_R	88159010	88159061	4
ABCG2_P310_R	88159140	88159194	4
ABL1_P53_F	130713800	130713853	9
ABL2_P459_R	179230033	179230087	1
ABO_E110_F	101179	101224	9
ABO_P312_F	101599	101645	9
ACTG2_E98_R	73893037	73893088	2
ACTG2_P346_F	73892595	73892643	2
ACTG2_P455_R	73892486	73892540	2
ACVR1_E328_R	157837925	157837976	2
ACVR1_P983_F	157839236	157839288	2
ACVR1B_E497_R	51952180	51952222	12
ACVR1B_P572_R	51951110	51951154	12
ACVR1C_P115_R	157628977	157629026	2
ACVR1C_P363_F	157629227	157629277	2
ACVR2B_E27_R	38454324	38454374	3
ACVR2B_P676_F	38453613	38453664	3
ADAMTS12_E52_R	33891942	33891993	5
ADAMTS12_P250_R	33892243	33892290	5
ADCYAP1_E163_R	905527	905574	18
ADCYAP1_P398_F	904965	905012	18
ADCYAP1_P455_R	904907	904956	18
AFF3_P122_F	100142675	100142724	2
AFF3_P808_F	100143358	100143410	2
AGTR1_P154_F	148697698	148697746	3
AGTR1_P41_F	148697811	148697865	3
AGXT_E115_R	240868836	240868891	2
AGXT_P180_F	240868538	240868588	2
AHR_E103_F	17298697	17298746	7
AHR_P166_R	17298429	17298484	7
AIM2_E208_F	159076624	159076673	1
AIM2_P624_F	159077460	159077510	1
AKT1_P310_R	104796028	104796077	14
ALK_E183_R	29921358	29921406	2
ALK_P28_F	29921569	29921621	2
ALOX12_E85_R	6996148	6996200	17
ALOX12_P223_R	6995842	6995889	17
ALPL_P278_F	21509069	21509125	1
ALPL_P433_F	21508917	21508971	1
AOC3_P890_R	42850274	42850322	17
APBA1_E99_R	69672182	69672229	9
APBA1_P644_F	69672930	69672974	9
APBA2_P227_F	1083873	1083916	15
APBA2_P305_R	1083790	1083847	15
APC_E117_R	112737982	112738030	5
APC_P14_F	112737846	112737897	5
APC_P280_R	112737585	112737637	5
APOA1_P261_F	116837859	116837906	11
APOA1_P75_F	116837678	116837728	11
APOC2_P377_F	44945588	44945634	19
APP_E8_F	26170785	26170829	21
APP_P179_R	26170971	26171013	21
AR_P189_R	67543820	67543870	X
AR_P54_R	67543957	67544006	X
ARAF_E38_F	47561121	47561174	X
ARAF_P63_R	47561023	47561068	X
AREG_E25_F	74445131	74445185	4
AREG_P217_R	74444899	74444947	4
ARHGAP9_P260_F	57489047	57489104	12
ARHGAP9_P518_R	57489309	57489360	12
ARHGDIB_P148_R	14961746	14961804	12
ARNT_P238_R	150876919	150876974	1
ASB4_E89_F	95486033	95486084	7
ASB4_P391_F	95485553	95485609	7
ASB4_P52_R	95485895	95485951	7
ASCL1_E24_F	102957688	102957733	12
ASCL1_P747_F	102956915	102956964	12
ASCL2_E76_R	2270847	2270898	11
ASCL2_P360_F	2271290	2271341	11
ASCL2_P609_R	2271538	2271584	11
ATP10A_P147_F	25863846	25863894	15
ATP10A_P524_R	25864225	25864267	15
AXIN1_P995_R	353436	353482	16
AXL_E61_F	41218949	41219004	19
AXL_P223_R	41218675	41218726	19
B3GALT5_P330_F	39656973	39657024	21
BAX_E281_R	48955119	48955166	19
BCAM_E100_R	44809158	44809207	19
BCAM_P205_F	44808851	44808901	19
BCAP31_P1072_F	153725479	153725531	X
BCAP31_P1131_F	153725539	153725591	X
BCL2A1_P1127_R	79972404	79972452	15
BCL2L2_E172_F	23306968	23307009	14
BCL2L2_P280_F	23306507	23306562	14
BCL3_E71_F	44748823	44748866	19
BCL3_P1038_R	44747716	44747767	19
BCL6_P248_R	187745905	187745956	3
BCR_P346_F	23179994	23180041	22
BCR_P422_F	23179919	23179967	22
BDNF_E19_R	27721701	27721757	11
BDNF_P259_R	27721986	27722027	11
BGN_E282_R	153495216	153495266	X
BGN_P333_R	153494597	153494646	X
BIRC4_P122_R	123860053	123860101	X
BIRC4_P500_F	123859675	123859722	X
BIRC5_E89_F	78214255	78214305	17
BLK_P14_F	11493968	11494022	8
BLK_P668_R	11493320	11493375	8
BMP2_E48_R	6768585	6768633	20
BMP2_P1201_F	6767332	6767382	20
BMP3_E147_F	81031088	81031135	4
BMP3_P56_R	81030887	81030935	4
BMP4_P123_R	53956990	53957038	14
BMP4_P199_R	53957070	53957120	14
BMP6_P163_F	7726586	7726638	6
BMP6_P398_F	7726352	7726401	6
BMPR1A_E88_F	86756706	86756748	10
BMPR1A_P956_F	86755658	86755708	10
BMPR2_E435_F	202377354	202377405	2
BMPR2_P1271_F	202375649	202375701	2
BRCA1_P835_R	43126259	43126309	17
BTK_E64_R	101386109	101386156	X
BTK_P105_F	101386272	101386321	X
C20orf47_P225_R	35541784	35541834	20
C4B_E171_F	31982207	31982251	6
C4B_P191_F	31981839	31981886	6
CALCA_E174_R	14972082	14972139	11
CALCA_P171_F	14972434	14972482	11
CALCA_P75_F	14972337	14972387	11
CAPG_E228_F	85410302	85410351	2
CARD15_P302_R	50696812	50696860	16
CARD15_P665_F	50696451	50696501	16
CASP10_E139_F	201183243	201183296	2
CASP10_P186_F	201182918	201182969	2
CASP10_P334_F	201182770	201182826	2
CASP2_P192_F	143288094	143288141	7
CASP3_P420_R	184649872	184649918	4
CASP6_P201_F	109703653	109703701	4
CASP6_P230_R	109703676	109703727	4
CASP8_E474_F	201233909	201233957	2
CAV1_P130_R	116524629	116524679	7
CAV1_P169_F	116524592	116524641	7
CAV2_E33_R	116499401	116499454	7
CCKAR_E79_F	26490320	26490368	4
CCKAR_P270_F	26490666	26490715	4
CCKBR_P361_R	6259354	6259399	11
CCKBR_P480_F	6259231	6259284	11
CCL3_E53_R	36090066	36090116	17
CCL3_P543_R	36090657	36090711	17
CCNA1_E7_F	36432473	36432529	13
CCNA1_P216_F	36432252	36432303	13
CCNC_P132_R	99568920	99568968	6
CCND1_E280_R	69641366	69641415	11
CCND1_P343_R	69640740	69640791	11
CCND2_P887_F	4272856	4272908	12
CCND2_P898_R	4272849	4272901	12
CCND3_P435_F	41942225	41942278	6
CCNE1_P683_F	29811285	29811337	19
CD1A_P414_R	158253696	158253751	1
CD1A_P6_F	158254104	158254157	1
CD2_P68_F	116754384	116754433	1
CD34_E20_R	207911297	207911340	1
CD34_P339_R	207911653	207911704	1
